DATE_DIM,DAY_OF_WEEK,AGE,GENDER,TENURE_IN_DAYS,RESIDENTIAL_STATE,TOTAL_TURNOVER
1/14/2021,5,34,1,4314,0,25
1/14/2021,5,35,0,813,0,587
1/14/2021,5,63,0,285,0,5
1/14/2021,5,25,0,1724,0,1175
1/14/2021,5,71,0,5810,0,30
1/14/2021,5,53,0,68,0,26
1/14/2021,5,25,0,1192,0,30
1/14/2021,5,79,0,551,0,6
1/14/2021,5,50,0,767,0,2
1/14/2021,5,55,0,2437,0,440
1/14/2021,5,51,0,6957,0,5
1/14/2021,5,44,0,3727,0,105
1/14/2021,5,53,0,5684,0,72
1/14/2021,5,53,0,272,0,40
1/14/2021,5,36,0,1547,0,3
1/14/2021,5,65,1,295,0,26
1/14/2021,5,62,0,803,0,57
1/14/2021,5,67,0,1901,0,70
1/14/2021,5,42,0,3328,0,44
1/14/2021,5,73,0,2301,0,10
1/14/2021,5,33,0,3497,0,36
1/14/2021,5,46,0,1387,0,10
1/14/2021,5,59,0,285,0,258
1/14/2021,5,30,1,1775,0,53
1/14/2021,5,36,0,2853,0,28.5
1/14/2021,5,45,0,7661,0,67.5
1/14/2021,5,65,0,1455,0,8
1/14/2021,5,39,1,4222,0,109.5
1/14/2021,5,62,0,11110,0,30.5
1/14/2021,5,60,0,2142,0,40
1/14/2021,5,61,0,5915,0,4
1/14/2021,5,44,0,110,0,1222
1/14/2021,5,50,0,2276,0,15
1/14/2021,5,42,0,230,0,437.19
1/14/2021,5,30,0,1165,0,20
1/14/2021,5,32,0,801,0,15
1/14/2021,5,46,0,4514,0,66
1/14/2021,5,29,0,141,1,25
1/14/2021,5,38,0,2131,0,8333.5
1/14/2021,5,71,0,295,0,94
1/14/2021,5,74,0,7808,0,66
1/14/2021,5,62,0,768,0,5
1/14/2021,5,62,0,817,0,7
1/14/2021,5,57,0,7262,0,125
1/14/2021,5,56,0,995,0,12
1/14/2021,5,69,0,3697,0,23
1/14/2021,5,35,0,3855,0,1000
1/14/2021,5,65,1,440,0,13
1/14/2021,5,69,0,1928,0,22
1/14/2021,5,54,0,6364,0,69
1/14/2021,5,50,0,5055,0,200
1/14/2021,5,65,0,13059,0,50
1/14/2021,5,59,0,6444,0,10
1/14/2021,5,36,0,126,0,31
1/14/2021,5,51,0,1117,0,25
1/14/2021,5,39,0,153,1,128
1/14/2021,5,59,0,901,1,2
1/14/2021,5,64,1,4191,0,304.5
1/14/2021,5,89,0,4206,0,15
1/14/2021,5,67,0,6131,0,261.5
1/14/2021,5,72,0,1840,0,465
1/14/2021,5,56,1,4049,0,564.5
1/14/2021,5,29,1,1883,0,6.5
1/14/2021,5,75,0,7924,0,50
1/14/2021,5,61,1,223,0,10
1/14/2021,5,62,0,5607,0,120
1/14/2021,5,52,0,7947,0,4
1/14/2021,5,54,0,4566,0,27
1/14/2021,5,37,0,5229,0,4
1/14/2021,5,45,0,2070,0,781
1/14/2021,5,48,0,839,0,10
1/14/2021,5,42,0,4762,0,81
1/14/2021,5,84,0,10981,0,6
1/14/2021,5,63,0,2464,0,11
1/14/2021,5,60,0,783,0,1359.32
1/14/2021,5,62,0,7390,0,20
1/14/2021,5,45,0,2288,0,162.5
1/14/2021,5,25,0,1574,0,5
1/14/2021,5,48,0,1155,0,15
1/14/2021,5,71,0,2112,0,4
1/14/2021,5,73,0,2694,0,1432
1/14/2021,5,63,0,258,0,34
1/14/2021,5,62,0,10030,0,2
1/14/2021,5,42,0,156,0,28
1/14/2021,5,67,0,445,0,66
1/14/2021,5,41,0,250,1,20
1/14/2021,5,53,1,1754,0,150
1/14/2021,5,52,0,2677,0,100
1/14/2021,5,85,0,4692,0,80
1/14/2021,5,53,0,1950,0,115
1/14/2021,5,59,0,417,0,10
1/14/2021,5,75,0,936,0,53
1/14/2021,5,54,0,7323,0,170
1/14/2021,5,74,0,374,0,60
1/14/2021,5,26,0,1659,0,10
1/14/2021,5,63,0,7378,0,13
1/14/2021,5,34,0,2105,0,65
1/14/2021,5,23,0,99,1,743
1/14/2021,5,57,0,6837,0,17
1/14/2021,5,77,0,5678,0,2
1/14/2021,5,76,0,7605,0,7
1/14/2021,5,74,0,4608,0,4
1/14/2021,5,26,0,1316,0,251.34
1/14/2021,5,55,0,2273,0,162.9
1/14/2021,5,85,0,152,0,49.5
1/14/2021,5,59,0,4040,0,20
1/14/2021,5,35,0,4828,0,229
1/14/2021,5,36,0,4078,0,121
1/14/2021,5,62,0,7881,0,200
1/14/2021,5,56,0,2819,0,50
1/14/2021,5,72,0,1210,0,50
1/14/2021,5,60,0,1470,0,21
1/14/2021,5,64,0,293,0,28
1/14/2021,5,32,0,2264,0,770.5
1/14/2021,5,71,1,6292,0,10
1/14/2021,5,61,0,801,0,54
1/14/2021,5,35,0,1715,0,1500
1/14/2021,5,69,0,1804,1,93
1/14/2021,5,24,1,1244,0,19.5
1/14/2021,5,75,0,5176,0,274.03
1/14/2021,5,35,0,920,0,72
1/14/2021,5,70,1,5078,0,67.5
1/14/2021,5,51,0,1835,0,50
1/14/2021,5,42,0,4984,0,1
1/14/2021,5,38,0,2273,0,20
1/14/2021,5,48,0,583,0,272
1/14/2021,5,78,0,152,0,66
1/14/2021,5,61,0,1490,0,2
1/14/2021,5,38,0,3484,0,22
1/14/2021,5,41,0,180,0,100
1/14/2021,5,37,0,403,1,337
1/14/2021,5,34,0,7,1,394.5
1/14/2021,5,55,0,7335,0,10
1/14/2021,5,59,0,1006,0,20
1/14/2021,5,73,0,1808,0,492.5
1/14/2021,5,52,1,2271,0,131
1/14/2021,5,42,0,517,1,40
1/14/2021,5,61,0,3610,1,450
1/14/2021,5,61,0,5213,0,19
1/14/2021,5,27,0,545,1,15929
1/14/2021,5,54,0,3092,0,223.5
1/14/2021,5,47,0,912,0,70
1/14/2021,5,53,0,2353,0,50
1/14/2021,5,56,0,1103,0,153
1/14/2021,5,49,0,3393,0,50
1/14/2021,5,49,0,993,0,13
1/14/2021,5,44,0,1440,0,17
1/14/2021,5,57,0,157,0,25
1/14/2021,5,87,0,7986,0,15
1/14/2021,5,52,0,5594,0,662
1/14/2021,5,60,0,3433,0,89
1/14/2021,5,55,0,7311,0,37.5
1/14/2021,5,59,0,979,0,87
1/14/2021,5,59,0,10185,0,488.4
1/14/2021,5,58,0,12166,0,300
1/14/2021,5,52,0,679,1,37
1/14/2021,5,70,0,299,0,20.5
1/14/2021,5,46,0,2311,0,2481
1/14/2021,5,70,0,14083,0,28
1/14/2021,5,50,0,6734,0,193
1/14/2021,5,72,0,8079,0,30
1/14/2021,5,70,0,8036,0,30
1/14/2021,5,41,0,3471,0,18
1/14/2021,5,64,0,7036,0,38
1/14/2021,5,74,0,962,0,15
1/14/2021,5,33,0,665,0,11
1/14/2021,5,61,0,302,0,65
1/14/2021,5,67,0,1403,0,22
1/14/2021,5,59,0,3046,0,42
1/14/2021,5,62,1,2503,1,20
1/14/2021,5,42,1,2510,0,10
1/14/2021,5,25,0,1912,0,18
1/14/2021,5,58,0,1352,0,25
1/14/2021,5,69,0,2130,0,26
1/14/2021,5,26,1,1535,0,3
1/14/2021,5,38,0,889,0,340
1/14/2021,5,32,0,1947,0,95
1/14/2021,5,28,0,2487,0,106.5
1/14/2021,5,67,0,1280,0,70.5
1/14/2021,5,56,0,9029,0,60
1/14/2021,5,61,0,587,0,117
1/14/2021,5,60,0,13644,0,2
1/14/2021,5,63,0,6974,0,93
1/14/2021,5,72,0,2335,0,2
1/14/2021,5,58,0,3939,0,1063.91
1/14/2021,5,44,0,398,0,30
1/14/2021,5,42,1,1398,0,2
1/14/2021,5,58,0,494,0,40
1/14/2021,5,54,0,2664,0,12
1/14/2021,5,72,0,258,0,7
1/14/2021,5,42,0,1379,0,100
1/14/2021,5,40,0,1368,0,4
1/14/2021,5,58,1,1855,0,30
1/14/2021,5,57,0,5181,0,52
1/14/2021,5,51,0,124,1,8
1/14/2021,5,67,0,1909,0,4
1/14/2021,5,67,0,6508,0,11.5
1/14/2021,5,49,0,1287,0,502.5
1/14/2021,5,50,0,1218,0,20
1/14/2021,5,47,0,1781,0,18
1/14/2021,5,72,0,3891,0,21
1/14/2021,5,32,1,377,0,41
1/14/2021,5,62,0,1744,0,394.5
1/14/2021,5,63,0,67,0,130
1/14/2021,5,74,0,14707,0,10
1/14/2021,5,52,0,288,0,350
1/14/2021,5,44,0,4068,0,73
1/14/2021,5,46,0,4896,0,24.5
1/14/2021,5,74,0,13273,0,30
1/14/2021,5,57,0,453,0,3
